# File Name: C:\Users\charl\Dropbox\eutops\data\raw_data\methylight\Barcelona_selfsamples\2021-08-18_BARCA_plate 2_W_all samples.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-18 12:46:17 PM CEST
# Run End Date/Time: 2021-08-18 01:55:50 PM CEST
# Run Duration: 69 minutes 33 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-10-27 04:28:43 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2022-10-27 04:29:07 PM CEST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","16000491010125","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","Inconclusive","0.5641586703417921","","","38.97268132057778","0.6715531405933375","37.19796338649104","2.5098301717722715","false","0.04","false","3","20"
"1","A1","false","16000491010125","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"2","A2","false","16000491010154","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","Amp","1.0172523139225609","","","35.45353417418431","0.9536541343633238","35.281223193527985","0.2436845257905435","false","0.04","false","3","20"
"2","A2","false","16000491010154","GYPC1","UNKNOWN","CY5","NFQ-MGB","Amp","1.0266035940387386","","","33.88335317146769","0.9480038829893316","33.727018560003174","0.22109052780103286","false","0.04","false","3","20"
"3","A3","false","16000491010157","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","Amp","1.0519377379119623","","","34.900934864039215","0.9530408601089783","34.59572053126197","0.43163824884454005","false","0.04","false","3","20"
"3","A3","false","16000491010157","GYPC1","UNKNOWN","CY5","NFQ-MGB","Amp","1.0203364342555723","","","33.67290537302097","0.9371687945606982","33.91771996686251","0.3462201188777474","false","0.04","false","3","20"
"4","A4","false","16000491010171","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","Amp","1.1029124267324162","","","32.88473505218272","0.9731600595334156","32.50618344359682","0.5353528189203449","false","0.04","false","3","20"
"4","A4","false","16000491010171","GYPC1","UNKNOWN","CY5","NFQ-MGB","Amp","1.0404024708290915","","","32.91441839102052","0.9570430138286706","33.40510897666471","0.6939412811466913","false","0.04","false","3","20"
"5","A5","false","16000491010585","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","Amp","0.9845431857067195","","","33.01280130506712","0.9516922295487394","33.308469010701984","0.41813727926411387","false","0.04","false","3","20"
"5","A5","false","16000491010585","GYPC1","UNKNOWN","CY5","NFQ-MGB","Amp","0.9345170187390014","","","31.41116819765405","0.9477106036100957","31.659768205050565","0.3515735020662595","false","0.04","false","3","20"
"6","A6","false","16000491010090","ZSCAN12","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"6","A6","false","16000491010090","GYPC1","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"7","A7","false","16000491010125","DPP6","UNKNOWN","VIC","NFQ-MGB","Amp","0.8415842819020507","","","33.90268639259557","0.9168688698758662","33.741309247095174","0.22822174782523352","false","0.04","false","3","20"
"7","A7","false","16000491010125","GYPC2","UNKNOWN","CY5","NFQ-MGB","Inconclusive","0.6215809347529583","","","35.7228113689166","0.6038389196038131","37.58196829330035","2.6292449370432425","false","0.04","false","3","20"
"8","A8","false","16000491010154","DPP6","UNKNOWN","VIC","NFQ-MGB","Amp","0.8411636979061423","","","33.79654746341075","0.9462938201863625","34.209282983455395","0.5836961701207924","false","0.04","false","3","20"
"8","A8","false","16000491010154","GYPC2","UNKNOWN","CY5","NFQ-MGB","Inconclusive","0.6665327090039851","","","35.08559164268535","0.5533196672421187","34.203188449500146","1.2479065632836013","false","0.04","false","3","20"
"9","A9","false","16000491010157","DPP6","UNKNOWN","VIC","NFQ-MGB","Amp","0.7399158697941238","","","34.86093072922187","0.8723218672298518","34.445434705973156","0.5876001111906388","false","0.04","false","3","20"
"9","A9","false","16000491010157","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.4925285453622018","","","Undetermined","0.0","","","false","0.04","false","3","20"
"10","A10","false","16000491010171","DPP6","UNKNOWN","VIC","NFQ-MGB","Amp","0.9900470996681726","","","31.78103827692133","0.9839449479810904","31.63300101836878","0.20935629878174827","false","0.04","false","3","20"
"10","A10","false","16000491010171","GYPC2","UNKNOWN","CY5","NFQ-MGB","Amp","0.8001796322014133","","","32.682975504401256","0.9072667244755918","32.73155251355605","0.06869826516660951","false","0.04","false","3","20"
"11","A11","false","16000491010585","DPP6","UNKNOWN","VIC","NFQ-MGB","Amp","0.9690955939935905","","","31.68363926006871","0.9633338742029461","31.63516584985973","0.06855175413072635","false","0.04","false","3","20"
"11","A11","false","16000491010585","GYPC2","UNKNOWN","CY5","NFQ-MGB","Amp","0.8938742744933162","","","31.596594644690093","0.9201349271678674","31.83114767128417","0.33170807130496727","false","0.04","false","3","20"
"12","A12","false","16000491010090","DPP6","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"12","A12","false","16000491010090","GYPC2","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"13","A13","false","16000491010125","RALYL","UNKNOWN","CY5","NFQ-MGB","Amp","1.0097821541933072","","","35.165151421382504","0.9593346030468701","35.48091354459868","0.44655507713590314","false","0.04","false","3","20"
"13","A13","false","16000491010125","GSX1","UNKNOWN","VIC","NFQ-MGB","Amp","0.8861691749286547","","","35.70938680177018","0.9351194720745413","35.83318805062177","0.175081405165514","false","0.04","false","3","20"
"14","A14","false","16000491010154","RALYL","UNKNOWN","CY5","NFQ-MGB","Amp","0.9655820272883343","","","36.34477892403332","0.929276736155895","38.310347825672025","2.7797341984761146","false","0.04","false","3","20"
"14","A14","false","16000491010154","GSX1","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"15","A15","false","16000491010157","RALYL","UNKNOWN","CY5","NFQ-MGB","Amp","1.0782719108389287","","","34.05694585249532","0.9503005846600671","33.51544054132736","0.7658041551508716","false","0.04","false","3","20"
"15","A15","false","16000491010157","GSX1","UNKNOWN","VIC","NFQ-MGB","Inconclusive","0.716411773475732","","","38.11550922681692","0.8482351704614626","37.05583474025239","1.4986060306005813","false","0.04","false","3","20"
"16","A16","false","16000491010171","RALYL","UNKNOWN","CY5","NFQ-MGB","Inconclusive","0.69183576815308","","","39.7362930679012","0.8715314360609631","37.76393945206945","2.7893292333049176","false","0.04","false","3","20"
"16","A16","false","16000491010171","GSX1","UNKNOWN","VIC","NFQ-MGB","Amp","0.8157616942022525","","","37.88991250601136","0.9188779780234605","37.88991250601136","","false","0.04","false","3","20"
"17","A17","false","16000491010585","RALYL","UNKNOWN","CY5","NFQ-MGB","Amp","0.8418617840440049","","","36.87744301948624","0.9218144732405277","36.87744301948624","","false","0.04","false","3","20"
"17","A17","false","16000491010585","GSX1","UNKNOWN","VIC","NFQ-MGB","Amp","0.9817729092070504","","","33.1659655514386","0.9467760095118416","33.327991265895385","0.22913896283730167","false","0.04","false","3","20"
"18","A18","false","16000491010090","RALYL","UNKNOWN","CY5","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"18","A18","false","16000491010090","GSX1","UNKNOWN","VIC","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","false","0.04","false","3","20"
"19","A19","false","16000491010125","COL2A1","UNKNOWN","FAM","NFQ-MGB","Amp","1.204851680579169","","","28.26497224363938","0.8475912717921255","28.05341203441592","0.2991913171421687","false","0.12","false","3","20"
"19","A19","false","16000491010125","EpC","UNKNOWN","CY5","NFQ-MGB","Amp","1.0888068597969667","","","26.996243180361084","0.9519142587547242","26.92386490589466","0.10235833737188453","false","0.04","false","3","20"
"19","A19","false","16000491010125","ImC","UNKNOWN","VIC","NFQ-MGB","Amp","0.8841022898825123","","","30.187401368229814","0.9164905949322715","29.756786330758903","0.6089816261532808","false","0.04","false","3","20"
"20","A20","false","16000491010154","COL2A1","UNKNOWN","FAM","NFQ-MGB","Amp","1.168656990205711","","","29.18560452213789","0.9068814249768328","29.28039908209348","0.1340597523291457","false","0.12","false","3","20"
"20","A20","false","16000491010154","EpC","UNKNOWN","CY5","NFQ-MGB","Amp","0.9958649275193808","","","28.761564709512157","0.9691090276474492","28.835439813546216","0.10447517404584292","false","0.04","false","3","20"
"20","A20","false","16000491010154","ImC","UNKNOWN","VIC","NFQ-MGB","Amp","0.9138576385577057","","","30.224366956663935","0.9373934613541847","30.205693576670228","0.026408147245309783","false","0.04","false","3","20"
